OrderID,ClientName,ProductType,ChannelSales,Priority,Units,UnitPrice,CostPrice,TotalSalesAmount,TotalCostAmount
E1070,Amanda,Ropa,Online,High,929,543.75,205.52,505143.75,190928.08
E1071,Kimberly,Ropa,Online,Critical,6934,447.76,27.48,3104767.84,190546.32
E1072,Leah,Domestico,Online,High,931,874.48,394.55,814140.88,367326.05
E1073,Danielle,Cuidado personal,Offline,Critical,4193,433.51,247.58,1817707.43,1038102.94
E1074,Randy,Cuidado personal,Offline,Low,9450,566.85,400.13,5356732.5,3781228.5
E1075,Joseph,Frutas,Online,Low,8709,783.29,369.25,6821672.61,3215798.25
E1076,Jessica,Frutas,Offline,Low,1361,797.68,283.77,1085642.48,386210.97
E1077,Wendy,Cereales,Offline,Medium,943,868.79,307.43,819268.97,289906.49
E1078,Justin,Verduras,Offline,Low,7333,795.74,232.09,5835161.42,1701915.97
E1079,Katherine,Alimento infantil,Offline,Low,9571,623.85,54.4,5970868.35,520662.4
E1080,Jacob,Bebida,Offline,Medium,5956,741.47,448.8,4416195.32,2673052.8
E1081,Sean,Cosmeticos,Offline,Medium,1875,782.57,344.17,1467318.75,645318.75
E1082,Deborah,Cereales,Offline,Critical,6509,681.04,185.43,4432889.36,1206963.87
E1083,Dawn,Domestico,Offline,Medium,3211,722.67,433.66,2320493.37,1392482.26
E1084,Michael,Ropa,Online,Critical,5626,876.99,92.8,4933945.74,522092.8
E1085,Joseph,Bebida,Online,Low,2286,470.78,154.81,1076203.08,353895.66
E1086,Sean,Bebida,Offline,Medium,1321,791.54,369.24,1045624.34,487766.04
E1087,William,Cuidado personal,Online,High,4355,766.14,132.22,3336539.7,575818.1
E1088,Bryan,Cuidado personal,Online,High,1499,618.38,193.54,926951.62,290116.46
E1089,Adam,Snacks,Online,Critical,3005,707.08,450.38,2124775.4,1353391.9
E1090,Diana,Carnes,Offline,High,107,444.66,168.09,47578.62,17985.63
E1091,Sean,Cuidado personal,Online,Medium,2892,544.54,344.45,1574809.68,996149.4
E1092,Melissa,Carnes,Online,Low,2810,883.48,467.65,2482578.8,1314096.5
E1093,Connor,Bebida,Offline,Medium,4868,881.19,300.95,4289632.92,1465024.6
E1094,Sarah,Cuidado personal,Online,Critical,1848,415.77,359.41,768342.96,664189.68
E1095,Nathan,Cuidado personal,Online,Low,8088,940.72,281.06,7608543.36,2273213.28
E1096,Kristen,Cereales,Online,High,5637,755.89,483.03,4260951.93,2722840.11
E1097,Julie,Alimento infantil,Offline,High,6643,582.01,484.08,3866292.43,3215743.44
E1098,Julie,Bebida,Online,High,1203,839.46,98.63,1009870.38,118651.89
E1099,Jeffrey,Verduras,Online,High,6374,568.57,159.27,3624065.18,1015186.98
E1100,Joseph,Verduras,Online,Low,8531,556.77,190.32,4749804.87,1623619.92
E1101,Thomas,Cereales,Offline,Critical,781,861.22,120,672612.82,93720
E1102,Cathy,Material de oficina,Online,Medium,5628,808.73,3.84,4551532.44,21611.52
E1103,Jose,Carnes,Online,Low,7245,727.25,408.3,5268926.25,2958133.5
E1104,Veronica,Cosmeticos,Online,Medium,4246,596.84,80.4,2534182.64,341378.4
E1105,John,Domestico,Online,High,1507,762.3,441.93,1148786.1,665988.51
E1106,Julie,Carnes,Offline,Low,8763,533.42,358.58,4674359.46,3142236.54
E1107,Willie,Bebida,Online,Low,5601,552.72,42.19,3095784.72,236306.19
E1108,Mark,Material de oficina,Online,Low,4520,493.27,326.6,2229580.4,1476232
E1109,Jacob,Ropa,Offline,Medium,2096,735.28,250.74,1541146.88,525551.04
E1110,Nathan,Carnes,Online,High,3241,931.09,30.87,3017662.69,100049.67
E1111,Madison,Alimento infantil,Online,Critical,3677,998.8,42.05,3672587.6,154617.85
E1112,Paul,Material de oficina,Offline,Low,3328,821.29,139.73,2733253.12,465021.44
E1113,Michael,Cuidado personal,Offline,High,7222,985.24,259.9,7115403.28,1876997.8
E1114,Courtney,Cosmeticos,Offline,Critical,6523,772.73,16.91,5040517.79,110303.93
E1115,Julie,Verduras,Offline,Low,5992,810.72,382.63,4857834.24,2292718.96
E1116,Jacob,Cosmeticos,Online,Low,302,659.97,267.25,199310.94,80709.5
E1117,Melissa,Frutas,Offline,High,2401,904.27,221.98,2171152.27,532973.98
E1118,Vincent,Verduras,Offline,High,8585,757.32,343.2,6501592.2,2946372
E1119,Kenneth,Frutas,Online,Critical,5679,412.64,407.96,2343382.56,2316804.84
E1120,Joshua,Material de oficina,Offline,Medium,9885,699.82,167.1,6917720.7,1651783.5
E1121,Jake,Cereales,Online,Critical,1203,995.08,223.88,1197081.24,269327.64
E1122,Stephanie,Cuidado personal,Online,Critical,5486,973.37,243.46,5339907.82,1335621.56
E1123,Jeffrey,Cosmeticos,Online,Low,7163,429.94,145.77,3079660.22,1044150.51
E1124,Michelle,Carnes,Online,High,5334,653.22,322.95,3484275.48,1722615.3
E1125,Ashley,Bebida,Offline,Medium,9142,952.38,75.69,8706657.96,691957.98
E1126,Dylan,Frutas,Offline,High,2009,443.5,91.06,890991.5,182939.54
E1127,Steven,Domestico,Online,Low,7296,975.85,441.84,7119801.6,3223664.64
E1128,Juan,Verduras,Offline,Medium,1720,574.61,35.08,988329.2,60337.6
E1129,Rebecca,Cosmeticos,Offline,Medium,6214,915.22,64.57,5687177.08,401237.98
E1130,Nicholas,Cosmeticos,Offline,Medium,7856,656.91,331.56,5160684.96,2604735.36
E1131,Christopher,Verduras,Offline,Low,9091,782.57,499.92,7114343.87,4544772.72
E1132,Tina,Bebida,Offline,Critical,2892,921.78,275.35,2665787.76,796312.2
E1133,Timothy,Material de oficina,Online,Low,9370,632.85,411.83,5929804.5,3858847.1
E1134,Sydney,Domestico,Offline,High,1075,461.59,121.28,496209.25,130376
E1135,Ashley,Frutas,Offline,High,5493,854.78,195.72,4695306.54,1075089.96
E1136,Michael,Cereales,Online,High,3011,810.22,406.07,2439572.42,1222676.77
E1137,Robert,Ropa,Offline,Low,5081,900.32,496.22,4574525.92,2521293.82
E1138,Gregory,Ropa,Offline,High,9809,566.71,312.22,5558858.39,3062565.98
E1139,Curtis,Carnes,Online,High,3020,981.24,125.23,2963344.8,378194.6
E1140,Joseph,Domestico,Offline,Low,2888,645.13,294.22,1863135.44,849707.36
E1141,Andrew,Domestico,Offline,Critical,1503,918.39,320.93,1380340.17,482357.79
E1142,Erica,Verduras,Offline,Low,9682,430.04,262.66,4163647.28,2543074.12
E1143,Maxwell,Cuidado personal,Offline,Critical,2002,980.47,195.63,1962900.94,391651.26
E1144,Sydney,Carnes,Offline,High,1781,605.03,258.46,1077558.43,460317.26
E1145,Gregory,Verduras,Online,High,4738,710.81,377.19,3367817.78,1787126.22
E1146,Michael,Verduras,Offline,High,2721,986.22,103.95,2683504.62,282847.95
E1147,Benjamin,Cuidado personal,Online,Low,9445,732.07,289.24,6914401.15,2731871.8
E1148,Lisa,Bebida,Offline,Critical,9650,567.8,391.02,5479270,3773343
E1149,Laura,Material de oficina,Online,Critical,4529,806.33,446.38,3651868.57,2021655.02
E1150,Tiffany,Carnes,Online,Low,8353,552.71,255.73,4616786.63,2136112.69
E1151,Sarah,Cuidado personal,Online,Medium,1949,787.87,378.72,1535558.63,738125.28
E1152,Morgan,Cereales,Online,Medium,4854,690.23,214.07,3350376.42,1039095.78
E1153,Dana,Alimento infantil,Online,Low,1904,809.81,237.62,1541878.24,452428.48
E1154,Daniel,Cosmeticos,Online,Critical,4757,984.01,450.45,4680935.57,2142790.65
E1155,Tony,Carnes,Online,Medium,212,593.06,95.59,125728.72,20265.08
E1156,Joseph,Verduras,Offline,Low,1477,690.01,27.61,1019144.77,40779.97
E1157,Joseph,Carnes,Online,Low,3645,570.64,72.67,2079982.8,264882.15
E1158,Andre,Ropa,Offline,Medium,8508,404.05,457.47,3437657.4,3892154.76
E1159,Dean,Verduras,Offline,Medium,6028,538.05,196.79,3243365.4,1186250.12
E1160,Holly,Cosmeticos,Online,Critical,6600,518.18,305.47,3419988,2016102
E1161,Gina,Bebida,Online,Low,9557,618.93,139.03,5915114.01,1328709.71
E1162,Kayla,Cuidado personal,Offline,Low,9620,847.1,282.42,8149102,2716880.4
E1163,Jeffrey,Ropa,Offline,Low,3205,711.44,488.75,2280165.2,1566443.75
E1164,Andrea,Ropa,Offline,Medium,9610,647.76,363.41,6224973.6,3492370.1
E1165,Christina,Snacks,Online,Medium,2082,667.95,301.35,1390671.9,627410.7
E1166,Troy,Carnes,Offline,High,4761,753.1,190.42,3585509.1,906589.62
E1167,Wendy,Frutas,Offline,Critical,2859,764.71,465.07,2186305.89,1329635.13
E1168,Jeffrey,Cereales,Online,Critical,6853,506.67,15.02,3472209.51,102932.06
E1169,Zachary,Verduras,Offline,Low,5366,491.25,149.16,2636047.5,800392.56
E1170,Kayla,Ropa,Offline,High,2620,585.76,262.7,1534691.2,688274
E1171,James,Snacks,Online,Low,193,581.95,486.85,112316.35,93962.05
E1172,Hector,Cereales,Offline,Critical,2077,957.01,408.37,1987709.77,848184.49
E1173,Joshua,Ropa,Online,Medium,2758,651.19,74.38,1795982.02,205140.04
E1174,Michael,Cereales,Online,Critical,600,786.52,422.44,471912,253464
E1175,Cindy,Cuidado personal,Offline,Medium,1870,460.22,146.22,860611.4,273431.4
E1176,Mary,Material de oficina,Offline,Low,7476,562.02,360.53,4201661.52,2695322.28
E1177,Brandon,Alimento infantil,Online,Critical,5047,978.19,166.47,4936924.93,840174.09
E1178,Danielle,Cosmeticos,Offline,Medium,803,607.4,447.96,487742.2,359711.88
E1179,Emily,Verduras,Offline,Medium,2592,703.13,461.08,1822512.96,1195119.36
E1180,Kimberly,Verduras,Online,Low,946,526.91,295.54,498456.86,279580.84
E1181,Ryan,Cuidado personal,Offline,High,8391,996.25,250.35,8359533.75,2100686.85
E1182,Amanda,Frutas,Online,Low,5059,445.09,492.99,2251710.31,2494036.41
E1183,Amanda,Frutas,Offline,High,5133,742.98,134.69,3813716.34,691363.77
E1184,William,Ropa,Offline,Medium,7240,449.57,150.96,3254886.8,1092950.4
E1185,Michael,Bebida,Offline,Low,8344,481.64,454.05,4018804.16,3788593.2
E1186,Matthew,Alimento infantil,Online,Low,8513,915.86,484.96,7796716.18,4128464.48
E1187,Amanda,Verduras,Offline,High,8629,641.71,41.97,5537315.59,362159.13
E1188,Kiara,Ropa,Online,Critical,6506,527.14,364.21,3429572.84,2369550.26
E1189,Billy,Alimento infantil,Online,High,6706,958.43,342.48,6427231.58,2296670.88
E1190,Kenneth,Cosmeticos,Offline,Critical,6063,900.2,398.55,5457912.6,2416408.65
E1191,Jacob,Domestico,Offline,Low,4970,989,343.98,4915330,1709580.6
E1192,Sabrina,Bebida,Online,Low,9008,665.4,22.4,5993923.2,201779.2
E1193,Cindy,Carnes,Offline,Critical,1314,850.4,473.48,1117425.6,622152.72
E1194,Joseph,Verduras,Online,High,8987,817.72,229.81,7348849.64,2065302.47
E1195,Angela,Snacks,Offline,High,2506,683.61,293.37,1713126.66,735185.22
E1196,Ryan,Verduras,Online,Low,7691,718.37,343.05,5524983.67,2638397.55
E1197,Johnny,Material de oficina,Online,Critical,3157,745.78,413.78,2354427.46,1306303.46
E1198,Audrey,Cosmeticos,Offline,High,9928,909.35,294.86,9028026.8,2927370.08
E1199,Julie,Cereales,Online,Critical,2141,499.09,46.93,1068551.69,100477.13
E1200,Joseph,Alimento infantil,Offline,Critical,4151,703.19,40.91,2918941.69,169817.41
E1201,Alyssa,Snacks,Offline,Medium,6417,540.64,70.06,3469286.88,449575.02
E1202,Tracey,Bebida,Online,Critical,7588,794.57,91.65,6029197.16,695440.2
E1203,Jose,Material de oficina,Online,Critical,5456,615.89,376.19,3360295.84,2052492.64
E1204,Steven,Snacks,Offline,High,1767,622.07,171.28,1099197.69,302651.76
E1205,Charles,Snacks,Online,Low,6921,518.91,49.08,3591376.11,339682.68
E1206,Melinda,Domestico,Online,Critical,5214,566.68,70.1,2954669.52,365501.4
E1207,Robert,Material de oficina,Offline,High,4574,722.39,342.69,3304211.86,1567464.06
E1208,Kimberly,Bebida,Online,Critical,9548,508.92,177.62,4859168.16,1695915.76
E1209,Julie,Carnes,Online,Low,2127,544.38,105.9,1157896.26,225249.3
E1210,Andrew,Alimento infantil,Offline,Critical,5234,779.52,255.3,4080007.68,1336240.2
E1211,Sarah,Snacks,Online,Low,3235,470.2,16.99,1521097,54962.65
E1212,Randall,Frutas,Online,Low,2549,587.7,146.04,1498047.3,372255.96
E1213,Jane,Cosmeticos,Offline,Critical,1962,913.76,54.98,1792797.12,107870.76
E1214,Johnny,Domestico,Offline,Critical,9270,685.9,194.47,6358293,1802736.9
E1215,Erica,Verduras,Offline,Critical,516,760.61,166.62,392474.76,85975.92
E1216,Joseph,Cosmeticos,Online,Low,1658,866.43,498.13,1436540.94,825899.54
E1217,Holly,Ropa,Offline,High,1711,802.65,244.79,1373334.15,418835.69
E1218,Jacob,Bebida,Online,High,3224,622.02,1.61,2005392.48,5190.64
E1219,Richard,Domestico,Online,Low,1109,983.47,269.18,1090668.23,298520.62
E1220,Austin,Cosmeticos,Online,High,8576,526.22,453.12,4512862.72,3885957.12
E1221,Whitney,Cosmeticos,Offline,High,5255,726.85,249.58,3819596.75,1311542.9
E1222,Daniel,Cosmeticos,Offline,Low,2351,934.86,186.52,2197855.86,438508.52
E1223,Curtis,Cosmeticos,Online,High,3667,988.62,307.63,3625269.54,1128079.21
E1224,Zachary,Material de oficina,Online,High,1776,882.78,375.7,1567817.28,667243.2
E1225,Alex,Frutas,Online,Medium,5986,548.8,103.62,3285116.8,620269.32
E1226,Jessica,Ropa,Online,Low,6696,942.49,80.05,6310913.04,536014.8
E1227,Ethan,Cereales,Online,Medium,8842,522.66,362.96,4621359.72,3209292.32
E1228,Stuart,Cuidado personal,Online,Low,2898,616.61,14.27,1786935.78,41354.46
E1229,Joshua,Cereales,Online,Critical,3963,702.04,121.72,2782184.52,482376.36
E1230,Daniel,Frutas,Offline,High,4848,529.21,380.31,2565610.08,1843742.88
E1231,Jacob,Material de oficina,Offline,Medium,3098,696.49,232.68,2157726.02,720842.64
E1232,Christina,Cosmeticos,Offline,Critical,8998,470.33,373.73,4232029.34,3362822.54
E1233,Brandon,Bebida,Online,Low,4207,591.45,120.68,2488230.15,507700.76
E1234,Gail,Cosmeticos,Offline,Low,302,499.93,213.65,150978.86,64522.3
E1235,Austin,Cereales,Online,Medium,2154,591.55,477.61,1274198.7,1028771.94
E1236,Charles,Alimento infantil,Offline,Low,2517,808.18,440.45,2034189.06,1108612.65
E1237,Frank,Ropa,Online,Low,4225,829.7,155.48,3505482.5,656903
E1238,Jane,Cereales,Online,High,6564,488.18,136.81,3204413.52,898020.84
E1239,Andrea,Cereales,Offline,High,2953,540.6,318.28,1596391.8,939880.84
E1240,Brian,Snacks,Online,Medium,6539,818.5,39.74,5352171.5,259859.86
E1241,Duane,Carnes,Online,Medium,7908,457.51,31.87,3617989.08,252027.96
E1242,Pamela,Ropa,Online,Low,1438,522.51,402.94,751369.38,579427.72
E1243,Jessica,Snacks,Offline,Critical,4076,609.31,105.22,2483547.56,428876.72
E1244,Timothy,Cereales,Offline,Low,2690,844.56,109.92,2271866.4,295684.8
E1245,Todd,Domestico,Offline,Low,264,874.17,116.74,230780.88,30819.36
E1246,Gregory,Cuidado personal,Offline,High,2384,930.62,465.91,2218598.08,1110729.44
E1247,Daniel,Ropa,Offline,Critical,5230,595.21,404.21,3112948.3,2114018.3
E1248,Robert,Cosmeticos,Offline,High,4145,661.87,405.69,2743451.15,1681585.05
E1249,George,Cereales,Online,High,4247,730.47,122.11,3102306.09,518601.17
E1250,Wendy,Carnes,Online,Critical,2703,694.01,357.91,1875909.03,967430.73
E1251,Jessica,Cereales,Online,Medium,4060,931,479.32,3779860,1946039.2
E1252,Mary,Ropa,Offline,Medium,8896,623.9,241.07,5550214.4,2144558.72
E1253,Robert,Cosmeticos,Online,Medium,7045,407.38,28.51,2869992.1,200852.95
E1254,Zachary,Cuidado personal,Online,Critical,7325,824.97,178.41,6042905.25,1306853.25
E1255,Michael,Domestico,Online,Medium,744,913.15,172.08,679383.6,128027.52
E1256,Jennifer,Verduras,Offline,Low,7443,595.09,87.84,4429254.87,653793.12
E1257,Cameron,Cosmeticos,Online,Critical,7867,595.32,310.86,4683382.44,2445535.62
E1258,Jessica,Verduras,Online,Medium,6405,713.4,442.84,4569327,2836390.2
E1259,Andrew,Cereales,Offline,High,585,998.41,139.53,584069.85,81625.05
E1260,Kelly,Cuidado personal,Offline,Critical,5194,582.59,171.3,3025972.46,889732.2
E1261,William,Material de oficina,Offline,Low,2305,710.6,479.92,1637933,1106215.6
E1262,Jonathan,Cosmeticos,Offline,High,3342,767.25,210.36,2564149.5,703023.12
E1263,Ryan,Material de oficina,Online,Medium,9767,575.27,75.11,5618662.09,733599.37
E1264,Leslie,Cuidado personal,Offline,Medium,8869,685.04,136.45,6075619.76,1210175.05
E1265,Phillip,Cosmeticos,Online,Medium,8185,806.56,47.49,6601693.6,388705.65
E1266,Sean,Bebida,Online,Critical,7089,495.38,68.96,3511748.82,488857.44
E1267,Courtney,Frutas,Offline,Medium,6573,627.05,332.99,4121599.65,2188743.27
E1268,Kristin,Cereales,Online,Medium,7796,618.82,40.88,4824320.72,318700.48
E1269,Rachel,Cosmeticos,Online,High,5054,608.03,178.5,3072983.62,902139
E1270,Angela,Verduras,Online,Critical,948,663.97,490.24,629443.56,464747.52
E1271,Craig,Snacks,Online,Critical,8932,507.64,471.09,4534240.48,4207775.88
E1272,Isaiah,Verduras,Online,Medium,8279,513.38,251.41,4250273.02,2081423.39
E1273,Desiree,Cuidado personal,Offline,Critical,8075,838.79,260.33,6773229.25,2102164.75
E1274,Kelly,Domestico,Online,Medium,2296,670.63,367.99,1539766.48,844905.04
E1275,Karla,Frutas,Online,Low,1329,858.93,85.03,1141517.97,113004.87
E1276,Anthony,Domestico,Offline,Critical,750,925.11,103.8,693832.5,77850
E1277,Daniel,Material de oficina,Online,Critical,7453,494.18,239.12,3683123.54,1782161.36
E1278,Billy,Alimento infantil,Online,High,5638,783.24,60.62,4415907.12,341775.56
E1279,Bryan,Cosmeticos,Online,High,3024,920.49,56.42,2783561.76,170614.08
E1280,Chad,Material de oficina,Offline,Medium,4885,970.1,461.64,4738938.5,2255111.4
E1281,Amanda,Verduras,Offline,Critical,948,833.65,384.41,790300.2,364420.68
E1282,Benjamin,Bebida,Online,High,435,627.94,234.22,273153.9,101885.7
E1283,Gregory,Snacks,Online,Low,4050,713.62,331.83,2890161,1343911.5
E1284,George,Snacks,Online,Low,3682,619.95,225.82,2282655.9,831469.24
E1285,Frank,Verduras,Offline,Critical,686,722.56,30.19,495676.16,20710.34
E1286,Joshua,Cuidado personal,Online,Medium,6168,895.03,249.61,5520545.04,1539594.48
E1287,Michael,Domestico,Offline,Low,1296,481.39,310.27,623881.44,402109.92
E1288,Kayla,Bebida,Online,Critical,405,486.02,337.65,196838.1,136748.25
E1289,Christina,Carnes,Online,Critical,9903,521.51,486.32,5164513.53,4816026.96
E1290,Kyle,Verduras,Offline,Low,8178,823.33,326.32,6733192.74,2668644.96
E1291,Jonathan,Cuidado personal,Online,Low,2469,449.53,324.12,1109889.57,800252.28
E1292,Troy,Domestico,Online,Low,4747,644.85,420.98,3061102.95,1998392.06
E1293,Cathy,Carnes,Offline,Critical,7668,675.65,150.76,5180884.2,1156027.68
E1294,Darin,Cereales,Offline,High,2353,908.66,448.92,2138076.98,1056308.76
E1295,Gail,Domestico,Online,High,5746,438.05,409.24,2517035.3,2351493.04
E1296,John,Domestico,Online,Medium,4630,621.69,150.92,2878424.7,698759.6
E1297,Melissa,Material de oficina,Online,Medium,3095,909.22,413.04,2814035.9,1278358.8
E1298,Bobby,Alimento infantil,Offline,Medium,7182,780.91,234.98,5608495.62,1687626.36
E1299,Laura,Cuidado personal,Online,Low,5774,669.09,327.39,3863325.66,1890349.86
E1300,Evan,Material de oficina,Offline,Medium,4840,414.65,481.92,2006906,2332492.8
E1301,Joseph,Carnes,Online,Medium,1160,864.49,35.63,1002808.4,41330.8
E1302,Anthony,Material de oficina,Online,Low,7257,900.49,116.05,6534855.93,842174.85
E1303,William,Verduras,Online,Low,8813,859.42,55.98,7574068.46,493351.74
E1304,Nicholas,Carnes,Online,Medium,9809,896.83,404.33,8797005.47,3966072.97
E1305,Travis,Frutas,Online,Critical,3497,923.77,346.99,3230423.69,1213424.03
E1306,Melanie,Cuidado personal,Online,High,9824,961.39,208.19,9444695.36,2045258.56
E1307,Sabrina,Ropa,Offline,Low,3014,665.85,263.69,2006871.9,794761.66
E1308,Nicholas,Domestico,Offline,Low,8052,954,243.75,7681608,1962675
E1309,Melanie,Ropa,Online,Medium,7217,853.51,59.44,6159781.67,428978.48
E1310,Jeffrey,Ropa,Offline,Critical,3932,909.86,21.7,3577569.52,85324.4
E1311,David,Carnes,Offline,Critical,9617,726.35,149.94,6985307.95,1441972.98
E1312,Mark,Ropa,Offline,Low,9126,817.26,194.21,7458314.76,1772360.46
E1313,Cody,Ropa,Online,High,5327,652.44,148.54,3475547.88,791272.58
E1314,Paula,Material de oficina,Online,High,3135,840.93,301.09,2636315.55,943917.15
E1315,Duane,Verduras,Offline,Medium,3696,453.76,401.39,1677096.96,1483537.44
E1316,Nicholas,Alimento infantil,Online,Low,9202,991.36,443.13,9122494.72,4077682.26
E1317,Jacob,Verduras,Offline,High,1794,991.57,286.37,1778876.58,513747.78
E1318,Kevin,Snacks,Offline,Low,9133,752.12,140.6,6869111.96,1284099.8
E1319,Tina,Bebida,Offline,High,2873,683.05,214.28,1962402.65,615626.44
